[2020-08-07 11:42:18,400]: Set HEARTHBEAT in Timer Task (DELAY: 1000, PERIOD: 60000)
[2020-08-07 11:42:18,403]: HEART MONITOR Initialized
[2020-08-07 11:42:19,425]:  [#.....1 lifetime=0:00.01] Heap Free:433974400 SYNCH [0] ASynch [PTG:0 PTP:0] Last:( [#PTG=0 OK=0 M.Dur.=0] [#PTP=0 OK=0 M.Dur.=0] )
[2020-08-07 11:43:19,404]:  [#.....2 lifetime=0:01.01] Heap Free:456667968 SYNCH [0] ASynch [PTG:0 PTP:0] Last:( [#PTG=0 OK=0 M.Dur.=0] [#PTP=0 OK=0 M.Dur.=0] )
[2020-08-07 11:44:19,400]:  [#.....3 lifetime=0:02.01] Heap Free:455050928 SYNCH [0] ASynch [PTG:0 PTP:0] Last:( [#PTG=0 OK=0 M.Dur.=0] [#PTP=0 OK=0 M.Dur.=0] )
[2020-08-07 11:45:19,404]:  [#.....4 lifetime=0:03.01] Heap Free:452061928 SYNCH [0] ASynch [PTG:0 PTP:0] Last:( [#PTG=0 OK=0 M.Dur.=0] [#PTP=0 OK=0 M.Dur.=0] )
[2020-08-07 11:46:19,400]:  [#.....5 lifetime=0:04.01] Heap Free:450445032 SYNCH [0] ASynch [PTG:0 PTP:0] Last:( [#PTG=0 OK=0 M.Dur.=0] [#PTP=0 OK=0 M.Dur.=0] )
[2020-08-07 11:47:19,400]:  [#.....6 lifetime=0:05.01] Heap Free:448673304 SYNCH [0] ASynch [PTG:0 PTP:0] Last:( [#PTG=0 OK=0 M.Dur.=0] [#PTP=0 OK=0 M.Dur.=0] )
[2020-08-07 11:48:19,400]:  [#.....7 lifetime=0:06.01] Heap Free:445708864 SYNCH [0] ASynch [PTG:0 PTP:0] Last:( [#PTG=0 OK=0 M.Dur.=0] [#PTP=0 OK=0 M.Dur.=0] )
[2020-08-07 11:49:19,409]:  [#.....8 lifetime=0:07.01] Heap Free:443510560 SYNCH [0] ASynch [PTG:0 PTP:0] Last:( [#PTG=0 OK=0 M.Dur.=0] [#PTP=0 OK=0 M.Dur.=0] )
[2020-08-07 11:50:19,399]:  [#.....9 lifetime=0:08.01] Heap Free:443510560 SYNCH [0] ASynch [PTG:0 PTP:0] Last:( [#PTG=0 OK=0 M.Dur.=0] [#PTP=0 OK=0 M.Dur.=0] )
[2020-08-07 11:51:19,401]:  [#....10 lifetime=0:09.01] Heap Free:440396088 SYNCH [0] ASynch [PTG:0 PTP:0] Last:( [#PTG=0 OK=0 M.Dur.=0] [#PTP=0 OK=0 M.Dur.=0] )
[2020-08-07 11:52:19,500]:  [#....11 lifetime=0:10.01] Heap Free:440396088 SYNCH [0] ASynch [PTG:0 PTP:0] Last:( [#PTG=0 OK=0 M.Dur.=0] [#PTP=0 OK=0 M.Dur.=0] )
[2020-08-07 11:53:19,402]:  [#....12 lifetime=0:11.01] Heap Free:438088712 SYNCH [0] ASynch [PTG:0 PTP:0] Last:( [#PTG=0 OK=0 M.Dur.=0] [#PTP=0 OK=0 M.Dur.=0] )
[2020-08-07 11:54:19,410]:  [#....13 lifetime=0:12.01] Heap Free:437808488 SYNCH [0] ASynch [PTG:0 PTP:0] Last:( [#PTG=0 OK=0 M.Dur.=0] [#PTP=0 OK=0 M.Dur.=0] )
[2020-08-07 11:55:19,404]:  [#....14 lifetime=0:13.01] Heap Free:434978424 SYNCH [0] ASynch [PTG:0 PTP:0] Last:( [#PTG=0 OK=0 M.Dur.=0] [#PTP=0 OK=0 M.Dur.=0] )
[2020-08-07 11:56:19,401]:  [#....15 lifetime=0:14.01] Heap Free:434978424 SYNCH [0] ASynch [PTG:0 PTP:0] Last:( [#PTG=0 OK=0 M.Dur.=0] [#PTP=0 OK=0 M.Dur.=0] )
[2020-08-07 11:57:19,401]:  [#....16 lifetime=0:15.01] Heap Free:433166008 SYNCH [0] ASynch [PTG:0 PTP:0] Last:( [#PTG=0 OK=0 M.Dur.=0] [#PTP=0 OK=0 M.Dur.=0] )
