2020-08-07 11:43:16,609 - synch [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:43:16,610 - synch.af [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:43:16,610 - synch.ar [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:43:16,610 - synch.efl [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:43:16,610 - synch.gsm [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:43:16,611 - synch.gst [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:43:16,611 - synch.ls [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:43:16,611 - synch.mkdir [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:43:16,611 - synch.mv [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:43:16,611 - synch.pd [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:43:16,611 - synch.ping [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:43:16,611 - synch.rf [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:43:16,612 - synch.rm [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:43:16,612 - synch.rmDir [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:43:16,612 - fs.aclOp [(count=70, m1_rate=365.06249514594583, m5_rate=711.0446489081158, m15_rate=794.6059538816828) (max=2.7337879999999997, min=0.0361, mean=0.16867639999999987, p95=0.33569899999999997, p99=2.7337879999999997)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:43:16,612 - fs.fileAttributeOp [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:43:16,612 - ea [(count=21, m1_rate=109.5187485437838, m5_rate=213.31339467243475, m15_rate=238.3817861645049) (max=4.2030829999999995, min=0.031, mean=0.25278, p95=0.125699, p99=4.2030829999999995)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:43:16,614 - xmlrpc-tp [active-threads=8, idle-threads=6, jobs=0, utilization-max=0.01, percent-idle=0.75]
2020-08-07 11:43:16,614 - rest-tp [active-threads=8, idle-threads=6, jobs=0, utilization-max=0.02, percent-idle=0.75]
2020-08-07 11:44:16,527 - synch [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:44:16,528 - synch.af [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:44:16,529 - synch.ar [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
